Unnamed: 0,passResult,offenseFormation,personnelO,personnelD,defendersInBox,dropBackType,pff_playAction,pff_passCoverage,pff_passCoverageType,playDirection
1017,S,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 1 LB, 6 DB",4.0,TRADITIONAL,0,Cover-3,Zone,right
1018,I,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,0,Cover-0,Man,right
1019,C,SHOTGUN,"1 RB, 2 TE, 2 WR","2 DL, 4 LB, 5 DB",7.0,TRADITIONAL,0,Cover-0,Man,left
1020,C,JUMBO,"1 RB, 3 TE, 1 WR","5 DL, 2 LB, 4 DB",9.0,TRADITIONAL,1,Cover-0,Man,right
0,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",8.0,TRADITIONAL,1,Cover-3,Zone,right
1,S,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,1,Quarters,Zone,right
2,I,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",7.0,SCRAMBLE_ROLLOUT_RIGHT,1,Cover-1,Man,left
3,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,0,Cover-3,Zone,right
4,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",7.0,TRADITIONAL,1,Cover-3,Zone,right
5,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,1,Cover-3,Zone,left
6,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
7,I,PISTOL,"2 RB, 1 TE, 2 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,1,Cover-2,Zone,left
8,C,SHOTGUN,"2 RB, 1 TE, 2 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,0,Cover-6,Zone,left
9,S,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,0,Quarters,Zone,right
10,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",4.0,TRADITIONAL,0,Quarters,Zone,left
11,IN,EMPTY,"0 RB, 1 TE, 4 WR","4 DL, 1 LB, 6 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
12,C,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,0,Cover-2,Zone,right
13,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,left
14,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 4 LB, 4 DB",8.0,TRADITIONAL,0,Cover-3,Zone,left
15,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,right
16,R,SHOTGUN,"1 RB, 2 TE, 2 WR","2 DL, 3 LB, 6 DB",5.0,SCRAMBLE,0,Cover-1,Man,right
17,S,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,SCRAMBLE,0,Cover-1,Man,right
18,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,left
19,I,SINGLEBACK,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,1,Cover-2,Zone,right
20,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,1,Cover-3,Zone,left
21,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,DESIGNED_ROLLOUT_LEFT,1,Cover-1,Man,left
22,I,SINGLEBACK,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,1,Cover-1,Man,left
23,C,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",8.0,DESIGNED_ROLLOUT_LEFT,1,Cover-3,Zone,left
24,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 2 LB, 6 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
25,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,DESIGNED_ROLLOUT_RIGHT,1,Quarters,Zone,left
26,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-2,Zone,right
27,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",5.0,DESIGNED_ROLLOUT_RIGHT,1,Cover-3,Zone,right
28,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 1 LB, 6 DB",7.0,TRADITIONAL,0,Quarters,Zone,left
29,S,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,right
30,C,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 5 LB, 5 DB",5.0,TRADITIONAL,0,Cover-2,Zone,right
31,I,WILDCAT,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",4.0,,0,Quarters,Zone,left
32,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 1 LB, 6 DB",6.0,TRADITIONAL,0,Cover-6,Zone,right
33,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,1,Cover-3,Zone,left
34,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,right
35,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,left
36,I,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",6.0,,0,Cover-1,Man,right
37,I,SHOTGUN,"1 RB, 0 TE, 4 WR","3 DL, 2 LB, 6 DB",4.0,,0,Cover-1,Man,left
38,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,0,Red Zone,Other,left
39,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,,0,Cover-1,Man,left
40,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,0,Quarters,Zone,left
41,I,SHOTGUN,"1 RB, 3 TE, 1 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,0,Quarters,Zone,left
42,C,I_FORM,"1 RB, 3 TE, 1 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,1,Cover-2,Zone,left
43,I,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,DESIGNED_ROLLOUT_RIGHT,1,Quarters,Zone,right
44,R,I_FORM,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,SCRAMBLE_ROLLOUT_RIGHT,1,Quarters,Zone,left
45,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
46,C,EMPTY,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
47,S,SINGLEBACK,"6 OL, 1 RB, 1 TE, 2 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,1,Cover-1,Man,right
48,I,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",6.0,DESIGNED_ROLLOUT_LEFT,1,Cover-3,Zone,right
49,C,EMPTY,"1 RB, 3 TE, 1 WR","3 DL, 4 LB, 4 DB",6.0,TRADITIONAL,0,Cover-6,Zone,left
50,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,1,Quarters,Zone,right
51,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,left
52,C,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
53,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",6.0,TRADITIONAL,0,Red Zone,Other,right
54,S,SHOTGUN,"1 RB, 2 TE, 2 WR","5 DL, 2 LB, 4 DB",6.0,TRADITIONAL,1,Quarters,Zone,left
55,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,0,Quarters,Zone,right
56,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,left
57,I,EMPTY,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
58,S,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 1 LB, 6 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
59,S,SINGLEBACK,"1 RB, 3 TE, 1 WR","3 DL, 3 LB, 5 DB",8.0,DESIGNED_ROLLOUT_RIGHT,1,Red Zone,Other,right
60,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
61,C,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-2,Zone,left
62,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",6.0,SCRAMBLE,0,Cover-1,Man,right
63,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
64,C,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,right
65,C,I_FORM,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,1,Cover-3,Zone,left
66,IN,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,1,Cover-1,Man,right
67,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
68,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,right
69,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,DESIGNED_ROLLOUT_RIGHT,1,Cover-3,Zone,left
70,R,EMPTY,"1 RB, 2 TE, 2 WR","2 DL, 4 LB, 5 DB",6.0,SCRAMBLE,0,Cover-2,Zone,right
71,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,left
72,C,I_FORM,"2 RB, 1 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,0,Cover-3,Zone,left
73,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,1,Red Zone,Other,left
74,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,,0,Cover-3,Zone,left
75,C,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
76,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
77,C,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,0,Cover-3,Zone,right
78,I,EMPTY,"1 RB, 1 TE, 3 WR","3 DL, 4 LB, 4 DB",5.0,TRADITIONAL,0,Cover-1,Man,left
79,C,EMPTY,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",5.0,TRADITIONAL,0,Cover-1,Man,left
80,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,1,Cover-3,Zone,left
81,C,SHOTGUN,"1 RB, 2 TE, 2 WR","2 DL, 4 LB, 5 DB",7.0,SCRAMBLE_ROLLOUT_RIGHT,0,Cover-3,Zone,right
82,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,right
83,C,EMPTY,"0 RB, 3 TE, 2 WR","3 DL, 4 LB, 4 DB",4.0,TRADITIONAL,0,Cover-3,Zone,right
84,I,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,1,Cover-3,Zone,right
85,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-2,Zone,right
86,C,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",7.0,DESIGNED_ROLLOUT_RIGHT,1,Cover-3,Zone,right
87,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,right
88,R,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 2 LB, 6 DB",7.0,SCRAMBLE,0,Cover-1,Man,left
89,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
90,I,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,,1,Cover-1,Man,left
91,I,SHOTGUN,"1 RB, 2 TE, 2 WR","2 DL, 4 LB, 5 DB",8.0,,1,Cover-1,Man,right
92,C,I_FORM,"2 RB, 1 TE, 2 WR","3 DL, 4 LB, 4 DB",8.0,TRADITIONAL,1,Cover-1,Man,left
93,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",7.0,TRADITIONAL,0,Cover-1,Man,right
94,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,right
95,I,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",8.0,TRADITIONAL,1,Cover-3,Zone,left
96,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",5.0,TRADITIONAL,0,Cover-3,Zone,left
97,I,I_FORM,"1 RB, 1 TE, 3 WR","3 DL, 2 LB, 6 DB",8.0,DESIGNED_ROLLOUT_LEFT,1,Cover-0,Man,left
98,C,I_FORM,"1 RB, 3 TE, 1 WR","1 DL, 5 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,right
99,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,1,Cover-3,Zone,right
100,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",5.0,TRADITIONAL,0,Quarters,Zone,left
101,C,EMPTY,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,SCRAMBLE,0,Cover-3,Zone,right
102,IN,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 1 LB, 6 DB",6.0,TRADITIONAL,0,Cover-3,Zone,right
103,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,right
104,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",8.0,TRADITIONAL,0,Cover-1,Man,left
105,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",6.0,TRADITIONAL,0,Cover-6,Zone,right
106,C,SHOTGUN,"2 RB, 1 TE, 2 WR","4 DL, 2 LB, 5 DB",7.0,SCRAMBLE,0,Cover-3,Zone,left
107,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,left
108,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 2 LB, 6 DB",8.0,SCRAMBLE,1,Cover-0,Man,left
109,IN,I_FORM,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,1,Cover-1,Man,right
110,C,SINGLEBACK,"1 RB, 3 TE, 1 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,0,Cover-6,Zone,right
111,C,I_FORM,"2 RB, 1 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,1,Cover-3,Zone,right
112,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",8.0,TRADITIONAL,1,Cover-3,Zone,left
113,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,1,Cover-2,Zone,right
114,C,SINGLEBACK,"2 RB, 2 TE, 1 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,0,Cover-3,Zone,left
115,I,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",5.0,SCRAMBLE,0,Cover-2,Zone,right
116,C,SHOTGUN,"1 RB, 0 TE, 4 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,right
117,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",6.0,TRADITIONAL,1,Cover-6,Zone,left
118,S,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,1,Cover-3,Zone,left
119,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,right
120,C,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",5.0,TRADITIONAL,0,Cover-1,Man,right
121,IN,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",7.0,DESIGNED_ROLLOUT_RIGHT,1,Cover-3,Zone,right
122,R,SHOTGUN,"1 RB, 0 TE, 4 WR","4 DL, 2 LB, 5 DB",7.0,SCRAMBLE,0,Cover-3,Zone,right
123,I,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,SCRAMBLE,0,Cover-3,Zone,left
124,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,0,Cover-3,Zone,left
125,C,EMPTY,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",5.0,TRADITIONAL,0,Cover-2,Zone,right
126,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,left
127,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,left
128,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",6.0,TRADITIONAL,0,Cover-6,Zone,right
129,I,SHOTGUN,"1 RB, 1 TE, 3 WR","5 DL, 2 LB, 4 DB",7.0,TRADITIONAL,0,Cover-3,Zone,left
130,C,SINGLEBACK,"1 RB, 3 TE, 1 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,1,Cover-6,Zone,right
131,IN,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,1,Cover-3,Zone,left
132,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
133,I,EMPTY,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",5.0,TRADITIONAL,0,Cover-6,Zone,right
134,I,SINGLEBACK,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,1,Cover-2,Zone,left
135,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,SCRAMBLE,0,Cover-3,Zone,right
136,S,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,0,Cover-1,Man,right
137,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
138,C,EMPTY,"1 RB, 3 TE, 1 WR","4 DL, 3 LB, 4 DB",6.0,SCRAMBLE,0,Cover-2,Zone,left
139,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",4.0,TRADITIONAL,0,Cover-2,Zone,left
140,C,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,right
141,C,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-2,Zone,right
142,I,,"2 RB, 1 TE, 2 WR","3 DL, 4 LB, 4 DB",,,1,Cover-1,Man,left
143,C,EMPTY,"1 RB, 0 TE, 4 WR","4 DL, 2 LB, 5 DB",5.0,SCRAMBLE,0,Cover-3,Zone,right
144,S,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",6.0,TRADITIONAL,0,Cover-6,Zone,right
145,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",8.0,DESIGNED_ROLLOUT_RIGHT,1,Cover-3,Zone,right
146,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,0,Cover-1,Man,right
147,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,0,Cover-1,Man,right
148,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,0,Cover-3,Zone,left
149,I,EMPTY,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",5.0,TRADITIONAL,0,Cover-3,Zone,left
150,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,0,Cover-2,Zone,right
151,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",7.0,TRADITIONAL,0,Cover-1,Man,left
152,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,1,Cover-3,Zone,right
153,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 2 LB, 6 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
154,C,SHOTGUN,"2 RB, 2 TE, 1 WR","4 DL, 3 LB, 4 DB",6.0,TRADITIONAL,0,Cover-2,Zone,left
155,S,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,0,Cover-3,Zone,left
156,I,PISTOL,"2 RB, 2 TE, 1 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,0,Cover-0,Man,left
157,I,SINGLEBACK,"2 RB, 2 TE, 1 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,1,Cover-2,Zone,left
158,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,1,Cover-6,Zone,left
159,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,left
160,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,1,Quarters,Zone,left
161,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,0,2-Man,Man,right
162,C,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",5.0,TRADITIONAL,0,Cover-3,Zone,left
163,IN,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",5.0,TRADITIONAL,0,Cover-3,Zone,right
164,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,0,Cover-2,Zone,left
165,IN,EMPTY,"2 RB, 1 TE, 2 WR","4 DL, 1 LB, 6 DB",5.0,TRADITIONAL,0,Quarters,Zone,left
166,I,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,0,Cover-6,Zone,right
167,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,1,Cover-2,Zone,right
168,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",6.0,TRADITIONAL,0,Cover-2,Zone,right
169,R,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,SCRAMBLE,0,Quarters,Zone,left
170,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,0,Cover-0,Man,right
171,C,SHOTGUN,"1 RB, 2 TE, 2 WR","2 DL, 4 LB, 5 DB",6.0,SCRAMBLE_ROLLOUT_RIGHT,1,Cover-3,Zone,right
172,C,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,0,Cover-6,Zone,left
173,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",5.0,SCRAMBLE,0,Cover-1,Man,right
174,I,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",5.0,TRADITIONAL,0,Quarters,Zone,right
175,C,EMPTY,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,left
176,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 2 LB, 6 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
177,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,1,Cover-3,Zone,right
178,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,right
179,R,EMPTY,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",5.0,SCRAMBLE,0,Cover-1,Man,right
180,C,SINGLEBACK,"1 RB, 3 TE, 1 WR","3 DL, 4 LB, 4 DB",7.0,DESIGNED_ROLLOUT_RIGHT,1,Cover-6,Zone,left
181,R,EMPTY,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,SCRAMBLE,0,Quarters,Zone,left
182,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,0,Cover-3,Zone,left
